product_name,category,category_en,price,sales_volume,review_count,rating,origin,shipping_location,store_name,store_level,is_promoted,product_url,sku_id,price_tier,review_density
[DA品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,49.91,721.0,111,4.6,新疆阿克苏,新疆乌鲁木齐,苏宁自营,,1,,GEN000001,mid,0.1539528432732316
[XR品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,103.88,671.0,26,4.2,云南西双版纳,云南昆明,苏宁自营,,1,,GEN000002,premium,0.038748137108792845
[HQ品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,108.13,1422.0,184,4.1,福建漳州,福建福州,福建果蔬专营店,专营店,1,,GEN000003,premium,0.12939521800281295
[HO品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,51.57,565.0,72,4.1,山东烟台,山东济南,苏宁自营,,0,,GEN000004,mid,0.12743362831858407
[NK品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,41.6,190.0,13,3.4,新疆阿克苏,新疆乌鲁木齐,苏宁自营,,0,,GEN000005,mid,0.06842105263157895
[CM品牌] 海南金钻凤梨 净重4.5斤 中果 酸甜多汁,水果,Fruits,23.42,374.0,15,4.5,广东茂名,广东广州,苏宁自营,,0,,GEN000006,mid,0.040106951871657755
[OR品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,18.3,277.0,12,5.0,云南西双版纳,云南昆明,苏宁自营,,1,,GEN000007,budget,0.04332129963898917
[UT品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,29.79,841.0,151,3.6,广东茂名,广东广州,苏宁自营,,0,,GEN000008,mid,0.17954815695600476
[VH品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,23.72,869.0,139,3.7,海南三亚,海南海口,苏宁自营,,0,,GEN000009,mid,0.15995397008055237
[IO品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,45.77,509.0,69,4.2,广东茂名,广东广州,苏宁自营,,1,,GEN000010,mid,0.13555992141453832
[VI品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,22.77,3209.0,473,4.3,浙江台州,浙江杭州,浙江果蔬专营店,专营店,0,,GEN000011,mid,0.1473979432845123
[FR品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,16.44,1482.0,225,3.7,广西南宁,广西南宁,苏宁自营,,0,,GEN000012,budget,0.15182186234817813
[UW品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,40.63,183.0,22,3.6,浙江台州,浙江杭州,苏宁自营,,1,,GEN000013,mid,0.12021857923497267
[BZ品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,40.28,1391.0,110,4.4,陕西洛川,陕西西安,陕西果蔬专营店,专营店,1,,GEN000014,mid,0.07907979870596693
[WK品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,32.22,638.0,39,3.6,四川攀枝花,四川成都,四川农产品旗舰店,旗舰店,0,,GEN000015,mid,0.061128526645768025
[IE品牌] 广西红心火龙果 净重5斤 中果 新鲜采摘,水果,Fruits,20.93,566.0,38,4.8,福建漳州,福建福州,福建果蔬专营店,专营店,0,,GEN000016,mid,0.06713780918727916
[SM品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,44.74,213.0,18,4.5,广西南宁,广西南宁,苏宁自营,,0,,GEN000017,mid,0.08450704225352113
[BD品牌] 陕西周至猕猴桃 5斤装 香甜软糯 维C丰富,水果,Fruits,26.58,481.0,24,4.6,广西南宁,广西南宁,广西农产品旗舰店,旗舰店,0,,GEN000018,mid,0.0498960498960499
[CM品牌] 烟台红富士苹果 10斤装 脆甜多汁 产地直发,水果,Fruits,73.1,1608.0,146,3.9,四川攀枝花,四川成都,四川果蔬专营店,专营店,0,,GEN000019,mid,0.09079601990049752
[AV品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,28.06,1025.0,154,4.8,浙江台州,浙江杭州,苏宁自营,,0,,GEN000020,mid,0.15024390243902438
[UK品牌] 陕西周至猕猴桃 5斤装 香甜软糯 维C丰富,水果,Fruits,24.86,696.0,30,3.7,云南西双版纳,云南昆明,苏宁自营,,1,,GEN000021,mid,0.04310344827586207
[XI品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,14.89,1471.0,286,5.0,广西南宁,广西南宁,苏宁自营,,0,,GEN000022,budget,0.19442556084296397
[UJ品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,33.25,1698.0,292,4.5,福建漳州,福建福州,苏宁自营,,0,,GEN000023,mid,0.17196702002355713
[YF品牌] 赣南脐橙 10斤装 新鲜采摘 酸甜适口,水果,Fruits,22.08,1049.0,124,5.0,福建漳州,福建福州,福建果蔬专营店,专营店,0,,GEN000024,mid,0.11820781696854146
[PA品牌] 赣南脐橙 10斤装 新鲜采摘 酸甜适口,水果,Fruits,34.12,2586.0,112,3.0,广东茂名,广东广州,苏宁自营,,0,,GEN000025,mid,0.04331013147718484
[BH品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,62.96,853.0,152,4.2,海南三亚,海南海口,海南农产品旗舰店,旗舰店,1,,GEN000026,mid,0.17819460726846426
[CY品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,37.37,180.0,21,4.2,广西南宁,广西南宁,广西农产品旗舰店,旗舰店,1,,GEN000027,mid,0.11666666666666667
[FI品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,45.17,2423.0,283,4.0,江西赣州,江西南昌,苏宁自营,,0,,GEN000028,mid,0.11679735864630623
[RY品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,19.65,549.0,83,4.8,新疆阿克苏,新疆乌鲁木齐,新疆农产品旗舰店,旗舰店,0,,GEN000029,budget,0.151183970856102
[UL品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,44.26,537.0,54,4.6,福建漳州,福建福州,苏宁自营,,0,,GEN000030,mid,0.1005586592178771
[CK品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,37.51,1654.0,45,3.9,福建漳州,福建福州,苏宁自营,,1,,GEN000031,mid,0.02720677146311971
