product_name,category,category_en,price,sales_volume,review_count,rating,origin,shipping_location,store_name,store_level,is_promoted,product_url,sku_id,price_tier,review_density,cluster,cluster_label,competitiveness_score
[DA品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,49.91,721.0,111,4.6,新疆阿克苏,新疆乌鲁木齐,苏宁自营,,1,,GEN000001,mid,0.1539528432732316,1,Mid-range Stable,12.632499620483047
[XR品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,103.88,671.0,26,4.2,云南西双版纳,云南昆明,苏宁自营,,1,,GEN000002,premium,0.0387481371087928,0,Premium Niche,9.122810015943159
[HQ品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,108.13,1422.0,184,4.1,福建漳州,福建福州,福建果蔬专营店,专营店,1,,GEN000003,premium,0.1293952180028129,3,Low Engagement,16.300124066009122
[HO品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,51.57,565.0,72,4.1,山东烟台,山东济南,苏宁自营,,0,,GEN000004,mid,0.127433628318584,3,Low Engagement,12.080619254205068
[NK品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,41.6,190.0,13,3.4,新疆阿克苏,新疆乌鲁木齐,苏宁自营,,0,,GEN000005,mid,0.0684210526315789,3,Low Engagement,10.620373815092186
[CM品牌] 海南金钻凤梨 净重4.5斤 中果 酸甜多汁,水果,Fruits,23.42,374.0,15,4.5,广东茂名,广东广州,苏宁自营,,0,,GEN000006,mid,0.0401069518716577,1,Mid-range Stable,9.94099195624754
[OR品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,18.3,277.0,12,5.0,云南西双版纳,云南昆明,苏宁自营,,1,,GEN000007,budget,0.0433212996389891,1,Mid-range Stable,8.512968184476529
[UT品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,29.79,841.0,151,3.6,广东茂名,广东广州,苏宁自营,,0,,GEN000008,mid,0.1795481569560047,3,Low Engagement,16.83560063409619
[VH品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,23.72,869.0,139,3.7,海南三亚,海南海口,苏宁自营,,0,,GEN000009,mid,0.1599539700805523,3,Low Engagement,16.604064412751253
[IO品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,45.77,509.0,69,4.2,广东茂名,广东广州,苏宁自营,,1,,GEN000010,mid,0.1355599214145383,3,Low Engagement,11.525002376374308
